Block SCALES
1 10000	# UV scale [GeV]
2 80.385	# EW scale [GeV]
Block GAUGE
1 0.627111	# g
2 0.344709	# gp
3 0.954651	# gs
Block SCALAR
1 0.095112	# lambda
2 8737.590000	# m2 [GeV^2]
Block GU
1 1 9.858575E-6	# Gamma_u(1,1)
1 2 -0.001313	# Gamma_u(1,2)
1 3 0.006672	# Gamma_u(1,3)
2 1 2.276238E-6	# Gamma_u(2,1)
2 2 0.005686	# Gamma_u(2,2)
2 3 -0.034489	# Gamma_u(2,3)
3 1 1.506005E-8	# Gamma_u(3,1)
3 2 0.000247	# Gamma_u(3,2)
3 3 0.829426	# Gamma_u(3,3)
Block IMGU
1 1 -4.945464E-13	# Gamma_u(1,1)
1 2 8.084985E-7	# Gamma_u(1,2)
1 3 0.002715	# Gamma_u(1,3)
2 1 -1.509132E-15	# Gamma_u(2,1)
2 2 1.866728E-7	# Gamma_u(2,2)
2 3 0.000627	# Gamma_u(2,3)
3 1 3.398802E-8	# Gamma_u(3,1)
3 2 -1.222682E-11	# Gamma_u(3,2)
3 3 -4.040536E-8	# Gamma_u(3,3)
Block GD
1 1 0.000022	# Gamma_d(1,1)
1 2 6.767347E-9	# Gamma_d(1,2)
1 3 -7.168849E-6	# Gamma_d(1,3)
2 1 3.321706E-10	# Gamma_d(2,1)
2 2 0.000442	# Gamma_d(2,2)
2 3 0.000036	# Gamma_d(2,3)
3 1 -8.081175E-9	# Gamma_d(3,1)
3 2 8.183825E-7	# Gamma_d(3,2)
3 3 0.018404	# Gamma_d(3,3)
Block IMGD
1 1 -1.673918E-6	# Gamma_d(1,1)
1 2 -3.345037E-6	# Gamma_d(1,2)
1 3 -7.826876E-6	# Gamma_d(1,3)
2 1 -1.674055E-6	# Gamma_d(2,1)
2 2 -3.347836E-6	# Gamma_d(2,2)
2 3 -5.669424E-6	# Gamma_d(2,3)
3 1 -6.692517E-6	# Gamma_d(3,1)
3 2 -8.354714E-6	# Gamma_d(3,2)
3 3 -0.000010	# Gamma_d(3,3)
Block GE
1 1 3.052484E-6	# Gamma_e(1,1)
1 2 0.000000	# Gamma_e(1,2)
1 3 0.000000	# Gamma_e(1,3)
2 1 0.000000	# Gamma_e(2,1)
2 2 0.000631	# Gamma_e(2,2)
2 3 0.000000	# Gamma_e(2,3)
3 1 0.000000	# Gamma_e(3,1)
3 2 0.000000	# Gamma_e(3,2)
3 3 0.010615	# Gamma_e(3,3)
Block IMGE
1 1 0.000000	# Gamma_e(1,1)
1 2 0.000000	# Gamma_e(1,2)
1 3 0.000000	# Gamma_e(1,3)
2 1 0.000000	# Gamma_e(2,1)
2 2 0.000000	# Gamma_e(2,2)
2 3 0.000000	# Gamma_e(2,3)
3 1 0.000000	# Gamma_e(3,1)
3 2 0.000000	# Gamma_e(3,2)
3 3 0.000000	# Gamma_e(3,3)
Block THETA
1 0.000000	# theta
2 0.028130	# thetap
3 0.000000	# thetas
Block WC1
1 0.000000	# G
2 0.000000	# G tilde
3 0.000000	# W
4 0.000000	# W tilde
Block WC2
1 -0.000014	# phi
Block WC3
1 0.004819	# phiBox
2 0.000000	# phiD
Block WC4
1 0.000000	# phiG
2 0.000000	# phiB
3 0.000000	# phiW
4 0.000000	# phiWB
5 0.000000	# phiGtilde
6 0.896691	# phiBtilde
7 0.000000	# phiWtilde
8 -0.013096	# phiWtildeB
Block WCUPHI
1 1 2.775017E-8	# uphi(1,1)
1 2 -2.925452E-7	# uphi(1,2)
1 3 0.011614	# uphi(1,3)
2 1 6.356309E-9	# uphi(2,1)
2 2 0.000016	# uphi(2,2)
2 3 -0.000087	# uphi(2,3)
3 1 1.352948E-7	# uphi(3,1)
3 2 -0.000017	# uphi(3,2)
3 3 0.002463	# uphi(3,3)
Block IMWCUPHI
1 1 -1.705272E-7	# uphi(1,1)
1 2 0.000023	# uphi(1,2)
1 3 -4.711764E-6	# uphi(1,3)
2 1 -3.953302E-8	# uphi(2,1)
2 2 -0.000099	# uphi(2,2)
2 3 0.000710	# uphi(2,3)
3 1 -3.199576E-9	# uphi(3,1)
3 2 -5.397715E-6	# uphi(3,2)
3 3 -0.014873	# uphi(3,3)
Block WCDPHI
1 1 -0.000032	# dphi(1,1)
1 2 -0.000039	# dphi(1,2)
1 3 -0.001488	# dphi(1,3)
2 1 -7.887450E-6	# dphi(2,1)
2 2 -8.884945E-6	# dphi(2,2)
2 3 -0.000012	# dphi(2,3)
3 1 0.000010	# dphi(3,1)
3 2 0.000020	# dphi(3,2)
3 3 0.000068	# dphi(3,3)
Block IMWCDPHI
1 1 0.110370	# dphi(1,1)
1 2 0.220681	# dphi(1,2)
1 3 0.330980	# dphi(1,3)
2 1 0.109880	# dphi(2,1)
2 2 0.220068	# dphi(2,2)
2 3 0.330250	# dphi(2,3)
3 1 0.451030	# dphi(3,1)
3 2 0.563725	# dphi(3,2)
3 3 0.676264	# dphi(3,3)
Block WCEPHI
1 1 9.909555E-9	# ephi(1,1)
1 2 0.000000	# ephi(1,2)
1 3 0.000000	# ephi(1,3)
2 1 0.000000	# ephi(2,1)
2 2 2.049006E-6	# ephi(2,2)
2 3 0.000000	# ephi(2,3)
3 1 0.000000	# ephi(3,1)
3 2 0.000000	# ephi(3,2)
3 3 0.000034	# ephi(3,3)
Block IMWCEPHI
1 1 -1.824539E-7	# ephi(1,1)
1 2 0.000000	# ephi(1,2)
1 3 0.000000	# ephi(1,3)
2 1 0.000000	# ephi(2,1)
2 2 -0.000038	# ephi(2,2)
2 3 0.000000	# ephi(2,3)
3 1 0.000000	# ephi(3,1)
3 2 0.000000	# ephi(3,2)
3 3 -0.000634	# ephi(3,3)
Block WCEW
1 1 0.000000	# eW(1,1)
1 2 0.000000	# eW(1,2)
1 3 0.000000	# eW(1,3)
2 1 0.000000	# eW(2,1)
2 2 0.000000	# eW(2,2)
2 3 0.000000	# eW(2,3)
3 1 0.000000	# eW(3,1)
3 2 0.000000	# eW(3,2)
3 3 0.000000	# eW(3,3)
Block IMWCEW
1 1 0.000000	# eW(1,1)
1 2 0.000000	# eW(1,2)
1 3 0.000000	# eW(1,3)
2 1 0.000000	# eW(2,1)
2 2 0.000000	# eW(2,2)
2 3 0.000000	# eW(2,3)
3 1 0.000000	# eW(3,1)
3 2 0.000000	# eW(3,2)
3 3 0.000000	# eW(3,3)
Block WCEB
1 1 0.000000	# eB(1,1)
1 2 0.000000	# eB(1,2)
1 3 0.000000	# eB(1,3)
2 1 0.000000	# eB(2,1)
2 2 0.000000	# eB(2,2)
2 3 0.000000	# eB(2,3)
3 1 0.000000	# eB(3,1)
3 2 0.000000	# eB(3,2)
3 3 0.000000	# eB(3,3)
Block IMWCEB
1 1 -1.000498E-7	# eB(1,1)
1 2 0.000000	# eB(1,2)
