Block SCALES
2 80.385	# EW scale [GeV]
3 4.18	# IR scale [GeV]
Block BS2
1 -1.125623E-8	# C1sb
2 0.000000	# C2sb
3 0.000000	# C3sb
4 -4.545976E-10	# C4sb
5 -2.042923E-10	# C5sb
6 0.000227	# C1'sb
7 0.000000	# C2'sb
8 0.000000	# C3'sb
Block IMBS2
1 -2.760716E-8	# C1sb
2 0.000000	# C2sb
3 0.000000	# C3sb
4 6.649621E-11	# C4sb
5 2.988283E-11	# C5sb
6 -0.000068	# C1'sb
7 0.000000	# C2'sb
8 0.000000	# C3'sb
Block BC1
1 0.000130	# C1(e)
2 0.000000	# C5(e)
3 0.000000	# C1'(e)
4 0.000000	# C5'(e)
5 0.000000	# C7'(e)
6 0.000130	# C1(mu)
7 0.000000	# C5(mu)
8 0.000000	# C1'(mu)
9 0.000000	# C5'(mu)
10 0.000000	# C7'(mu)
11 0.000130	# C1(tau)
12 0.000000	# C5(tau)
13 0.000000	# C1'(tau)
14 0.000000	# C5'(tau)
15 0.000000	# C7'(tau)
Block IMBC1
1 2.321582E-7	# C1(e)
2 0.000000	# C5(e)
3 0.000000	# C1'(e)
4 0.000000	# C5'(e)
5 0.000000	# C7'(e)
6 2.321582E-7	# C1(mu)
7 0.000000	# C5(mu)
8 0.000000	# C1'(mu)
9 0.000000	# C5'(mu)
10 0.000000	# C7'(mu)
11 2.321574E-7	# C1(tau)
12 0.000000	# C5(tau)
13 0.000000	# C1'(tau)
14 0.000000	# C5'(tau)
15 0.000000	# C7'(tau)
Block BS1H
1 -2.692014E-7	# C1(sbuu)
2 0.000106	# C2(sbuu)
3 -7.179912E-7	# C3(sbuu)
4 -0.000026	# C4(sbuu)
5 0.000000	# C5(sbuu)
6 0.000000	# C6(sbuu)
7 0.000000	# C7(sbuu)
8 0.000000	# C8(sbuu)
9 0.000000	# C9(sbuu)
10 0.000000	# C10(sbuu)
11 5.210392E-6	# C1(sbdd)
12 2.092262E-6	# C2(sbdd)
13 -8.736531E-7	# C3(sbdd)
14 2.245719E-7	# C4(sbdd)
15 0.000000	# C5(sbdd)
16 0.000000	# C6(sbdd)
17 0.000000	# C7(sbdd)
18 0.000000	# C8(sbdd)
19 0.000000	# C9(sbdd)
20 0.000000	# C10(sbdd)
21 -0.000012	# C1(sbcc)
22 -0.000090	# C2(sbcc)
23 2.205047E-6	# C3(sbcc)
24 0.000023	# C4(sbcc)
25 0.000000	# C5(sbcc)
26 0.000000	# C6(sbcc)
27 0.000000	# C7(sbcc)
28 0.000000	# C8(sbcc)
29 0.000000	# C9(sbcc)
30 0.000000	# C10(sbcc)
31 3.908564E-6	# C1(sbss)
32 -6.737942E-7	# C3(sbss)
33 -3.983197E-6	# C5(sbss)
34 9.957993E-7	# C7(sbss)
35 6.223746E-8	# C9(sbss)
36 3.884966E-6	# C1(sbbb)
37 -6.678947E-7	# C3(sbbb)
38 -2.306745E-6	# C5(sbbb)
39 8.984595E-7	# C7(sbbb)
40 5.580088E-8	# C9(sbbb)
41 6.786053E-9	# C1'(sbuu)
42 8.899608E-8	# C2'(sbuu)
43 -5.843302E-10	# C3'(sbuu)
44 -1.554024E-9	# C4'(sbuu)
45 0.000000	# C5'(sbuu)
46 0.000000	# C6'(sbuu)
47 0.000000	# C7'(sbuu)
48 0.000000	# C8'(sbuu)
49 0.000000	# C9'(sbuu)
50 0.000000	# C10'(sbuu)
51 -8.477178E-8	# C1'(sbdd)
52 4.772488E-8	# C2'(sbdd)
53 1.421223E-8	# C3'(sbdd)
54 3.253612E-9	# C4'(sbdd)
55 0.000000	# C5'(sbdd)
56 0.000000	# C6'(sbdd)
57 0.000000	# C7'(sbdd)
58 0.000000	# C8'(sbdd)
